iteration,testing_loss,training_loss
1,0.647384,0.652653
2,0.350625,0.269836
3,0.363434,0.315151
4,0.311439,0.345015
5,0.311333,0.339432
6,0.303728,0.299443
7,0.312056,0.314438
8,0.301396,0.277202
9,0.312675,0.333762
10,0.329249,0.266228
11,0.314409,0.321462
12,0.332897,0.288648
13,0.312888,0.310694
14,0.295117,0.414155
15,0.295714,0.292319
16,0.320181,0.361911
17,0.290721,0.294452
18,0.31761,0.297246
19,0.313216,0.365712
20,0.30418,0.371188
21,0.298492,0.310652
22,0.305897,0.350364
23,0.31268,0.28904
24,0.314217,0.318862
25,0.321151,0.249923
26,0.301654,0.317999
27,0.335815,0.290349
28,0.321912,0.255298
29,0.300228,0.321335
30,0.303389,0.309745
31,0.326561,0.303049
32,0.305742,0.326704
33,0.292679,0.250964
34,0.312251,0.297817
35,0.275605,0.259088
36,0.247107,0.329322
37,0.238346,0.309092
38,0.259078,0.240498
39,0.233366,0.218904
40,0.216979,0.239405
41,0.225402,0.19726
42,0.19493,0.15371
43,0.206698,0.175726
44,0.213744,0.160398
45,0.219077,0.151381
46,0.185557,0.187546
47,0.204206,0.144429
48,0.190127,0.197999
49,0.176782,0.128883
50,0.180254,0.129756
51,0.15224,0.125784
52,0.165382,0.13078
53,0.169738,0.124584
54,0.185344,0.178477
55,0.156271,0.0932541
56,0.148569,0.0945957
57,0.151767,0.143081
58,0.138526,0.133827
59,0.150458,0.0775911
60,0.147848,0.120184
61,0.136636,0.0914967
62,0.159423,0.0840634
63,0.150076,0.0933827
64,0.144739,0.0894424
65,0.147804,0.0858539
66,0.136082,0.069907
67,0.13844,0.133241
68,0.137449,0.076318
69,0.117934,0.041148
70,0.163046,0.129429
71,0.13341,0.099121
72,0.130636,0.0766013
73,0.120414,0.108065
74,0.132982,0.0766436
75,0.139913,0.0806072
76,0.122177,0.0732217
77,0.122037,0.0772555
78,0.107016,0.0685811
79,0.123192,0.0651589
80,0.128998,0.0661646
81,0.112756,0.0839386
82,0.112842,0.0599706
83,0.117769,0.0941826
84,0.109235,0.0957398
85,0.110931,0.0535049
86,0.09793,0.0707657
87,0.107933,0.0370149
88,0.105496,0.0717292
89,0.112731,0.0534588
90,0.111934,0.0576007
91,0.112898,0.0853598
92,0.102358,0.0387453
93,0.103722,0.0707802
94,0.107325,0.0507244
95,0.112364,0.0535736
96,0.103201,0.056005
97,0.101737,0.0551164
98,0.0938928,0.0480383
99,0.0960032,0.0716123
100,0.104806,0.0571401
101,0.108656,0.0561279
102,0.102615,0.0663113
103,0.100994,0.0412135
104,0.097561,0.0634507
105,0.104778,0.058519
106,0.120491,0.057681
107,0.100952,0.0532212
108,0.102866,0.0346772
109,0.10956,0.0539334
110,0.0981297,0.0466264
111,0.095486,0.0631653
112,0.0987315,0.0567555
113,0.107097,0.0544473
114,0.0947276,0.0659059
115,0.0888411,0.0539851
116,0.0938724,0.036869
117,0.0904521,0.0456926
118,0.0970894,0.0668056
119,0.0900593,0.0276487
120,0.103604,0.0451846
121,0.0946757,0.0404497
122,0.10657,0.0356066
123,0.088667,0.033964
124,0.0908901,0.0386814
125,0.0938566,0.0429578
126,0.0892978,0.0214326
127,0.0942978,0.0730432
128,0.0892453,0.0451204
129,0.0957059,0.0283827
130,0.102528,0.025324
131,0.0918352,0.0283473
132,0.0840783,0.0483994
133,0.0881306,0.0254328
134,0.0940099,0.0395947
135,0.0899717,0.0327497
136,0.0908533,0.0451046
137,0.0856586,0.0444749
138,0.0909686,0.030015
139,0.0946307,0.0203643
140,0.0935606,0.0619998
141,0.093722,0.0427854
142,0.0974379,0.0482973
143,0.0866323,0.0436891
144,0.0945267,0.0308744
145,0.0907805,0.0408917
146,0.0845753,0.0515518
147,0.0869443,0.0361601
148,0.0910518,0.0506642
149,0.0957419,0.0344593
150,0.0942455,0.024064
151,0.0844456,0.0377828
152,0.0870199,0.0356918
153,0.0831133,0.0283989
154,0.0899369,0.026896
155,0.0900182,0.0407998
156,0.0921086,0.0345528
157,0.0895552,0.0510454
158,0.0848104,0.0211065
159,0.0851752,0.0329386
160,0.0893455,0.0372279
161,0.0876848,0.0213862
162,0.0934648,0.027781
163,0.0869796,0.0307874
164,0.0921099,0.0364683
165,0.0917879,0.0529802
166,0.0811524,0.0278255
167,0.0793509,0.0239539
168,0.0962037,0.043161
169,0.0902492,0.0287535
170,0.0863375,0.0396163
171,0.0813055,0.045945
172,0.0845444,0.0332448
173,0.0841129,0.0318338
174,0.0879631,0.0427556
175,0.0877316,0.0349741
176,0.0915018,0.023753
177,0.0953148,0.0348082
178,0.0857451,0.0405424
179,0.0933376,0.0361191
180,0.0908558,0.0187871
181,0.0871524,0.0335824
182,0.0853742,0.0301604
183,0.079018,0.0303512
184,0.0778882,0.0274128
185,0.0840943,0.0261287
186,0.0884423,0.0227071
187,0.0845582,0.0141418
188,0.0791063,0.018797
189,0.0928757,0.0237706
190,0.0827714,0.0322488
191,0.0894732,0.0242654
192,0.0826231,0.0207119
193,0.085535,0.0286514
194,0.0853282,0.0282563
195,0.0836815,0.0297382
196,0.0754828,0.0300054
197,0.0846706,0.0302515
198,0.0843187,0.024378
199,0.0801312,0.0234266
200,0.0873742,0.0173129
